encoder,stream,corpus,query_class,neighbour_class,count,share_of_top5
remoteclip_l14,context,clean,storage_tank,ship,9,0.00053
remoteclip_l14,context,jitter,basketball_court,tennis_court,128,0.00759
remoteclip_l14,context,jitter,tennis_court,basketball_court,122,0.00723
remoteclip_l14,context,jitter,baseball_diamond,ground_track_field,105,0.00623
remoteclip_l14,context,jitter,basketball_court,baseball_diamond,57,0.00338
remoteclip_l14,context,jitter,ground_track_field,baseball_diamond,56,0.00332
remoteclip_l14,context,jitter,storage_tank,ship,37,0.00219
remoteclip_l14,context,jitter,baseball_diamond,basketball_court,35,0.00208
remoteclip_l14,context,jitter,baseball_diamond,tennis_court,34,0.00202
remoteclip_l14,context,jitter,tennis_court,baseball_diamond,33,0.00196
remoteclip_l14,context,jitter,ship,storage_tank,18,0.00107
openclip_b32,object,clean,basketball_court,tennis_court,79,0.00468
openclip_b32,object,clean,baseball_diamond,storage_tank,30,0.00178
openclip_b32,object,clean,vehicle,storage_tank,27,0.0016
openclip_b32,object,clean,ship,vehicle,20,0.00119
openclip_b32,object,clean,tennis_court,basketball_court,19,0.00113
openclip_b32,object,clean,tennis_court,vehicle,12,0.00071
openclip_b32,object,clean,ship,harbor,12,0.00071
openclip_b32,object,clean,baseball_diamond,tennis_court,11,0.00065
openclip_b32,object,clean,airplane,tennis_court,8,0.00047
openclip_b32,object,clean,harbor,airplane,8,0.00047
openclip_b32,object,jitter,basketball_court,tennis_court,113,0.0067
openclip_b32,object,jitter,ship,vehicle,46,0.00273
openclip_b32,object,jitter,storage_tank,vehicle,41,0.00243
openclip_b32,object,jitter,baseball_diamond,storage_tank,35,0.00208
openclip_b32,object,jitter,vehicle,storage_tank,26,0.00154
openclip_b32,object,jitter,tennis_court,basketball_court,24,0.00142
openclip_b32,object,jitter,baseball_diamond,tennis_court,20,0.00119
openclip_b32,object,jitter,harbor,tennis_court,19,0.00113
openclip_b32,object,jitter,airplane,storage_tank,16,0.00095
openclip_b32,object,jitter,storage_tank,baseball_diamond,12,0.00071
openclip_b32,context,clean,basketball_court,tennis_court,256,0.01518
openclip_b32,context,clean,tennis_court,basketball_court,185,0.01097
openclip_b32,context,clean,ground_track_field,baseball_diamond,150,0.00889
openclip_b32,context,clean,baseball_diamond,ground_track_field,112,0.00664
openclip_b32,context,clean,tennis_court,baseball_diamond,79,0.00468
openclip_b32,context,clean,basketball_court,baseball_diamond,69,0.00409
openclip_b32,context,clean,baseball_diamond,basketball_court,52,0.00308
openclip_b32,context,clean,baseball_diamond,tennis_court,43,0.00255
openclip_b32,context,clean,ship,storage_tank,41,0.00243
openclip_b32,context,clean,harbor,ship,25,0.00148
openclip_b32,context,jitter,basketball_court,tennis_court,238,0.01411
openclip_b32,context,jitter,tennis_court,basketball_court,235,0.01393
openclip_b32,context,jitter,baseball_diamond,ground_track_field,200,0.01186
openclip_b32,context,jitter,ground_track_field,baseball_diamond,147,0.00872
openclip_b32,context,jitter,tennis_court,baseball_diamond,102,0.00605
openclip_b32,context,jitter,basketball_court,baseball_diamond,87,0.00516
openclip_b32,context,jitter,baseball_diamond,basketball_court,54,0.0032
openclip_b32,context,jitter,baseball_diamond,tennis_court,47,0.00279
openclip_b32,context,jitter,ship,storage_tank,47,0.00279
openclip_b32,context,jitter,tennis_court,ground_track_field,31,0.00184
dinov2_b14,object,clean,basketball_court,tennis_court,73,0.00433
dinov2_b14,object,clean,tennis_court,basketball_court,34,0.00202
dinov2_b14,object,clean,ship,harbor,15,0.00089
dinov2_b14,object,clean,ship,bridge,11,0.00065
dinov2_b14,object,clean,basketball_court,baseball_diamond,10,0.00059
dinov2_b14,object,clean,vehicle,ship,8,0.00047
dinov2_b14,object,clean,bridge,ground_track_field,7,0.00042
dinov2_b14,object,clean,bridge,baseball_diamond,7,0.00042
dinov2_b14,object,clean,ship,vehicle,6,0.00036
dinov2_b14,object,clean,vehicle,storage_tank,5,0.0003
dinov2_b14,object,jitter,basketball_court,tennis_court,76,0.00451
dinov2_b14,object,jitter,tennis_court,basketball_court,69,0.00409
dinov2_b14,object,jitter,storage_tank,baseball_diamond,41,0.00243
dinov2_b14,object,jitter,baseball_diamond,ground_track_field,23,0.00136
dinov2_b14,object,jitter,ship,bridge,23,0.00136
dinov2_b14,object,jitter,storage_tank,basketball_court,21,0.00125
dinov2_b14,object,jitter,ship,harbor,21,0.00125
dinov2_b14,object,jitter,tennis_court,ground_track_field,11,0.00065
dinov2_b14,object,jitter,vehicle,storage_tank,10,0.00059
dinov2_b14,object,jitter,basketball_court,baseball_diamond,9,0.00053
dinov2_b14,context,clean,tennis_court,basketball_court,247,0.01465
dinov2_b14,context,clean,basketball_court,tennis_court,244,0.01447
dinov2_b14,context,clean,tennis_court,baseball_diamond,202,0.01198
dinov2_b14,context,clean,baseball_diamond,ground_track_field,187,0.01109
dinov2_b14,context,clean,ground_track_field,baseball_diamond,175,0.01038
dinov2_b14,context,clean,basketball_court,baseball_diamond,101,0.00599
dinov2_b14,context,clean,baseball_diamond,tennis_court,95,0.00563
dinov2_b14,context,clean,tennis_court,ground_track_field,61,0.00362
dinov2_b14,context,clean,ship,storage_tank,51,0.00302
dinov2_b14,context,clean,baseball_diamond,basketball_court,50,0.00296
dinov2_b14,context,jitter,baseball_diamond,ground_track_field,247,0.01465
dinov2_b14,context,jitter,tennis_court,baseball_diamond,246,0.01459
dinov2_b14,context,jitter,tennis_court,basketball_court,241,0.01429
dinov2_b14,context,jitter,basketball_court,tennis_court,235,0.01393
dinov2_b14,context,jitter,ground_track_field,baseball_diamond,176,0.01044
dinov2_b14,context,jitter,basketball_court,baseball_diamond,116,0.00688
dinov2_b14,context,jitter,tennis_court,ground_track_field,103,0.00611
dinov2_b14,context,jitter,baseball_diamond,tennis_court,97,0.00575
dinov2_b14,context,jitter,baseball_diamond,basketball_court,50,0.00296
dinov2_b14,context,jitter,storage_tank,ship,47,0.00279
